title;rating;ratingLevel;release year;user rating score;ageGroup
Being Mary Jane: The Series;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
Unbreakable Kimmy Schmidt;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
Bordertown;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
Jane The Virgin;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;91.0;Teen
Dope;R;language, drug content, sexuality/nudity, and some violence-all involving teens;2015;79.0;Adult
The Carmichael Show;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;69.0;Teen
November Rule;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;86.0;Teen
Haters Back Off;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;58.0;Teen
Kubo and the Two Strings;PG;thematic elements, scary images, action and peril;2016;96.0;Parental Guidance
Skins;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;Adult
A Weekend with the Family;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Crazyhead;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Queen of Katwe;PG;thematic elements, an accident scene and some suggestive material;2016;86.0;Parental Guidance
Little Boxes;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;61.0;Teen
Deidra & Laney Rob a Train;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2017;86.0;Teen
Hurricane Bianca;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Honeytrap;NR;This movie has not been rated.;2014;77.0;Unrated
Greenleaf;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;62.0;Teen
Lazy Eye;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Like Cotton Twines;NR;This movie has not been rated.;2016;77.0;Unrated
The Wedding Party;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;86.0;Teen
Boy Bye;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
Nancy Drew;PG;Parental guidance suggested. May not be suitable for children.;2007;86.0;Parental Guidance
Nurse Jackie;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;82.0;Adult
Drop Dead Diva;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;88.0;Parental Guidance
Gilmore Girls;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2006;91.0;Teen
Parenthood;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;79.0;Teen
Life Unexpected;TV-PG;Parental guidance suggested. May not be suitable for all children.;2010;55.0;Parental Guidance
Being Human (U.S.);TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2014;58.0;Teen
The Carrie Diaries;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2013;86.0;Teen
Baby Daddy;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;80.0;Teen
The Angriest Man in Brooklyn;R;Restricted. May be inappropriate for children 17 and under.;2014;79.0;Adult
Sense8;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;81.0;Adult
Girlfriends' Guide to Divorce;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;63.0;Teen
Fried;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2015;89.0;Adult
The Great Gilly Hopkins;PG;for thematic material and language;2016;69.0;Parental Guidance
The Magicians;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
One Day at a Time;TV-PG;Parental guidance suggested. May not be suitable for all children.;2017;88.0;Parental Guidance
Better Off Single;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;89.0;Adult
The Matchbreaker;PG;Parental guidance suggested. May not be suitable for children.;2016;79.0;Parental Guidance
Tramps;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;Adult
Slam;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2017;89.0;Adult
The Waterboy;PG-13;language and some crude sexual humor;1998;82.0;Teen
10 Things I Hate About You;PG-13;adult content, adult language and mild violence;1999;68.0;Teen
Grease;PG;Parental guidance suggested. May not be suitable for children.;1978;86.0;Parental Guidance
How to Lose a Guy in 10 Days;PG-13;some sex-related material;2003;56.0;Teen
The Benchwarmers;PG-13;crude and suggestive humor, and for language;2006;77.0;Teen
Step Up;PG-13;thematic elements, brief violence and innuendo;2006;64.0;Teen
High School Musical 2;TV-G;Suitable for all ages.;2007;58.0;Family
Twilight;PG-13;some violence and one sexual scene;2008;89.0;Teen
Coraline;PG;thematic elements, scary images, some language and suggestive humor;2009;95.0;Parental Guidance
Hannah Montana: The Movie;G;General Audiences. Suitable for all ages.;2009;56.0;Family
Friday Night Lights;TV-PG;Parental guidance suggested. May not be suitable for all children.;2010;81.0;Parental Guidance
StarStruck;TV-G;Suitable for all ages.;2010;74.0;Family
Mean Girls 2;PG-13;For some rude and suggestive material, and for language.;2011;68.0;Teen
That '70s Show;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2005;89.0;Teen
Heartland;TV-PG;Parental guidance suggested. May not be suitable for all children.;2015;85.0;Parental Guidance
Switched at Birth;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;83.0;Teen
Hart of Dixie;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;81.0;Parental Guidance
Safe Haven;PG-13;thematic material involving threatening behavior, and for violence and sexuality;2013;62.0;Teen
The Night Shift;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;93.0;Teen
Reign;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2015;79.0;Teen
Fuller House;TV-G;Suitable for all ages.;2016;90.0;Family
Gilmore Girls: A Year in the Life;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;77.0;Teen
Gabriel lglesias: I???m Sorry For What I Said When I Was Hungry;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;84.0;Teen
The Wedding Planner;PG-13;language and some sexual humor;2001;68.0;Teen
