title;rating_x;ratingLevel;release year;user rating score;ageGroup;director;cast;country;date_added;release_year_x;duration;listed_in;imdb_score;imdb_votes;budget;genres;popularity;production_companies;release_date;revenue;runtime_y;type
dragons: race to the edge;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;88.0;Kids;;Jay Baruchel, America Ferrera, T.J. Miller, Christopher Mintz-Plasse, Andree Vermeulen, Zack Pearlman;United States;;2018.0;6 Seasons;Kids' TV, TV Action & Adventure;8.199999999999998;6161.0;;;;;;;;TV Show
mother goose club;TV-Y;Suitable for all ages.;2016;;Kids;;;United States;;2016.0;2 Seasons;Kids' TV;;;;;;;;;;TV Show
little einsteins;TV-Y;Suitable for all ages.;2007;70.0;Kids;;;;;;;;;;;;;;;;;
hotel transylvania 2;PG;some scary images, action and rude humor;2015;93.0;Parental Guidance;;;;;;;;;;80000000;['Animation', 'Comedy', 'Family'];11.760218;['Columbia Pictures', 'Sony Pictures Animation'];2015-09-21;473226958.0;89.0;
dawn of the croods;TV-Y7;Suitable for children ages 7 and older;2017;72.0;Kids;;Stephanie Lemelin, A.J. LoCascio, Dan Milano, Grey DeLisle, Cree Summer, Laraine Newman, Chris Parnell, Ana Gasteyer, Dee Bradley Baker, Thomas Lennon, Dominic Catrambone;United States;;2017.0;4 Seasons;Kids' TV;5.8;712.0;;;;;;;;TV Show
goosebumps;PG;scary and intense creature action and images, and for some rude humor;2015;90.0;Parental Guidance;;R.L. Stine;Canada;;1998.0;5 Seasons;Kids' TV, TV Thrillers;7.6;13361.0;58000000;['Adventure', 'Horror', 'Comedy'];12.365292;['Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Sony Pictures Animation', 'Sony Pictures Entertainment (SPE)', 'Scholastic Entertainment', 'LStar Capital'];2015-08-05;158162788.0;103.0;TV Show
kung fu panda 3;PG;martial arts action and some mild rude humor;2016;92.0;Parental Guidance;;;;;;;;7.1;152791.0;145000000;['Action', 'Adventure', 'Animation', 'Comedy', 'Family'];14.696548;['Twentieth Century Fox Film Corporation', 'DreamWorks Animation', 'China Film Co.', 'Oriental DreamWorks'];2016-01-23;521170825.0;95.0;MOVIE
home: adventures with tip & oh;TV-Y7;Suitable for children ages 7 and older;2017;;Kids;;Rachel Crow, Mark Whitten, Ana Ortiz, Ron Funches, Matt Jones, Nolan North;United States;;2018.0;4 Seasons;Kids' TV, TV Comedies;5.9;603.0;;;;;;;;TV Show
open season: scared silly;PG;rude humor and some action;2015;72.0;Parental Guidance;;;;;;;;;;0;['Animation', 'Comedy', 'Family', 'Adventure'];4.452672;['Sony Pictures Animation'];2015-12-31;0.0;85.0;
the land before time xiv: journey of the brave;G;General Audiences. Suitable for all ages.;2016;;Family;;;;;;;;;;0;['Adventure', 'Animation', 'Family'];1.987829;['Universal Animation Studios'];2016-02-02;0.0;82.0;
